index,humanid,mousesym,mouseid,humansym,"# This table looks like it was downloaded from BioMart, but Eric has foolishly lost track of the exact date and versions. "
4934,ENSG00000116729,Wls,ENSMUSG00000028173,WLS,
4935,ENSG00000116731,Prdm2,ENSMUSG00000057637,PRDM2,
4936,ENSG00000116741,Rgs2,ENSMUSG00000026360,RGS2,
4937,ENSG00000116745,Rpe65,ENSMUSG00000028174,RPE65,
4938,ENSG00000116747,Trove2,ENSMUSG00000018199,TROVE2,
4939,ENSG00000116748,Ampd1,ENSMUSG00000070385,AMPD1,
4940,ENSG00000116750,Uchl5,ENSMUSG00000018189,UCHL5,
4941,ENSG00000116752,Bcas2,ENSMUSG00000005687,BCAS2,
4942,ENSG00000116754,Srsf11,ENSMUSG00000055436,SRSF11,
4943,ENSG00000116761,Cth,ENSMUSG00000028179,CTH,
4944,ENSG00000116771,Agmat,ENSMUSG00000040706,AGMAT,
4945,ENSG00000116774,Olfml3,ENSMUSG00000027848,OLFML3,
4946,ENSG00000116783,Tnni3k,ENSMUSG00000040086,TNNI3K,
4947,ENSG00000116785,Cfhr2,ENSMUSG00000033898,CFHR3,
4948,ENSG00000116786,Plekhm2,ENSMUSG00000028917,PLEKHM2,
4949,ENSG00000116791,Cryz,ENSMUSG00000028199,CRYZ,
4950,ENSG00000116793,Phtf1,ENSMUSG00000058388,PHTF1,
4951,ENSG00000116809,Zbtb17,ENSMUSG00000006215,ZBTB17,
4952,ENSG00000116819,Tfap2e,ENSMUSG00000042477,TFAP2E,
4953,ENSG00000116824,Cd2,ENSMUSG00000027863,CD2,
4954,ENSG00000116830,Ttf2,ENSMUSG00000033222,TTF2,
4955,ENSG00000116833,Nr5a2,ENSMUSG00000026398,NR5A2,
4956,ENSG00000116852,Kif21b,ENSMUSG00000041642,KIF21B,
4957,ENSG00000116857,Tmem9,ENSMUSG00000026411,TMEM9,
4958,ENSG00000116863,Adprhl2,ENSMUSG00000042558,ADPRHL2,
4959,ENSG00000116871,Map7d1,ENSMUSG00000028849,MAP7D1,
4960,ENSG00000116874,Wars2,ENSMUSG00000004233,WARS2,
4961,ENSG00000116882,Hao2,ENSMUSG00000027870,HAO2,
4962,ENSG00000116885,Oscp1,ENSMUSG00000042616,OSCP1,
4963,ENSG00000116898,Mrps15,ENSMUSG00000028861,MRPS15,
4964,ENSG00000116903,Exoc8,ENSMUSG00000074030,EXOC8,
4965,ENSG00000116906,Gnpat,ENSMUSG00000031985,GNPAT,
4966,ENSG00000116918,Tsnax,ENSMUSG00000056820,TSNAX,
4967,ENSG00000116954,Rragc,ENSMUSG00000028646,RRAGC,
4968,ENSG00000116957,Tbce,ENSMUSG00000039233,TBCE,
4969,ENSG00000116962,Nid1,ENSMUSG00000005397,NID1,
4970,ENSG00000116977,Lgals8,ENSMUSG00000057554,LGALS8,
4971,ENSG00000116981,Nt5c1a,ENSMUSG00000054958,NT5C1A,
4972,ENSG00000116983,Hpcal4,ENSMUSG00000046093,HPCAL4,
4973,ENSG00000116984,Mtr,ENSMUSG00000021311,MTR,
4974,ENSG00000116985,Bmp8a,ENSMUSG00000032726,BMP8B,
4975,ENSG00000116985,Bmp8b,ENSMUSG00000002384,BMP8B,
4976,ENSG00000116990,Mycl,ENSMUSG00000028654,MYCL,
4977,ENSG00000116991,Sipa1l2,ENSMUSG00000001995,SIPA1L2,
4978,ENSG00000117000,Rlf,ENSMUSG00000049878,RLF,
4979,ENSG00000117009,Kmo,ENSMUSG00000039783,KMO,
4980,ENSG00000117013,Kcnq4,ENSMUSG00000028631,KCNQ4,
4981,ENSG00000117016,Rims3,ENSMUSG00000032890,RIMS3,
4982,ENSG00000117020,Akt3,ENSMUSG00000019699,AKT3,
4983,ENSG00000117036,Etv3,ENSMUSG00000003382,ETV3,
4984,ENSG00000117054,Acadm,ENSMUSG00000062908,ACADM,
4985,ENSG00000117069,St6galnac5,ENSMUSG00000039037,ST6GALNAC5,
4986,ENSG00000117090,Slamf1,ENSMUSG00000015316,SLAMF1,
4987,ENSG00000117091,Cd48,ENSMUSG00000015355,CD48,
4988,ENSG00000117114,Adgrl2,ENSMUSG00000028184,ADGRL2,
4989,ENSG00000117115,Padi2,ENSMUSG00000028927,PADI2,
4990,ENSG00000117118,Sdhb,ENSMUSG00000009863,SDHB,
4991,ENSG00000117122,Mfap2,ENSMUSG00000060572,MFAP2,
4992,ENSG00000117133,Rpf1,ENSMUSG00000028187,RPF1,
4993,ENSG00000117139,Kdm5b,ENSMUSG00000042207,KDM5B,
4994,ENSG00000117143,Uap1,ENSMUSG00000026670,UAP1,
4995,ENSG00000117151,Ctbs,ENSMUSG00000028189,CTBS,
4996,ENSG00000117152,Rgs4,ENSMUSG00000038530,RGS4,
4997,ENSG00000117153,Klhl12,ENSMUSG00000026455,KLHL12,
4998,ENSG00000117154,Igsf21,ENSMUSG00000040972,IGSF21,
4999,ENSG00000117155,Ssx2ip,ENSMUSG00000036825,SSX2IP,
5000,ENSG00000117174,Znhit6,ENSMUSG00000074182,ZNHIT6,
5001,ENSG00000117215,Pla2g2d,ENSMUSG00000041202,PLA2G2D,
5002,ENSG00000117222,Rbbp5,ENSMUSG00000026439,RBBP5,
5003,ENSG00000117245,Kif17,ENSMUSG00000028758,KIF17,
5004,ENSG00000117262,Gpr89,ENSMUSG00000028096,GPR89A,
5005,ENSG00000117266,Cdk18,ENSMUSG00000026437,CDK18,
5006,ENSG00000117280,Rab29,ENSMUSG00000026433,RAB29,
5007,ENSG00000117281,Cd160,ENSMUSG00000038304,CD160,
5008,ENSG00000117298,Ece1,ENSMUSG00000057530,ECE1,
5009,ENSG00000117305,Hmgcl,ENSMUSG00000028672,HMGCL,
5010,ENSG00000117308,Gale,ENSMUSG00000028671,GALE,
5011,ENSG00000117318,Id3,ENSMUSG00000007872,ID3,
5012,ENSG00000117322,Cr2,ENSMUSG00000026616,CR2,
5013,ENSG00000117335,Cd46,ENSMUSG00000016493,CD46,
5014,ENSG00000117360,Prpf3,ENSMUSG00000015748,PRPF3,
5015,ENSG00000117362,Aph1a,ENSMUSG00000015750,APH1A,
5016,ENSG00000117385,P3h1,ENSMUSG00000028641,P3H1,
5017,ENSG00000117394,Slc2a1,ENSMUSG00000028645,SLC2A1,
5018,ENSG00000117395,Ebna1bp2,ENSMUSG00000028729,EBNA1BP2,
5019,ENSG00000117399,Cdc20,ENSMUSG00000006398,CDC20,
5020,ENSG00000117400,Mpl,ENSMUSG00000006389,MPL,
5021,ENSG00000117407,Artn,ENSMUSG00000028539,ARTN,
5022,ENSG00000117408,Ipo13,ENSMUSG00000033365,IPO13,
5023,ENSG00000117410,Atp6v0b,ENSMUSG00000033379,ATP6V0B,
5024,ENSG00000117411,B4galt2,ENSMUSG00000028541,B4GALT2,
5025,ENSG00000117419,Eri3,ENSMUSG00000033423,ERI3,
5026,ENSG00000117425,Ptch2,ENSMUSG00000028681,PTCH2,
5027,ENSG00000117448,Akr1a1,ENSMUSG00000028692,AKR1A1,
5028,ENSG00000117450,Prdx1,ENSMUSG00000028691,PRDX1,
5029,ENSG00000117461,Pik3r3,ENSMUSG00000028698,PIK3R3,
5030,ENSG00000117472,Tspan1,ENSMUSG00000028699,TSPAN1,
5031,ENSG00000117475,Blzf1,ENSMUSG00000026577,BLZF1,
5032,ENSG00000117477,Ccdc181,ENSMUSG00000026578,CCDC181,
5033,ENSG00000117479,Slc19a2,ENSMUSG00000040918,SLC19A2,
5034,ENSG00000117480,Faah,ENSMUSG00000034171,FAAH,
5035,ENSG00000117481,Nsun4,ENSMUSG00000028706,NSUN4,
5036,ENSG00000117500,Tmed5,ENSMUSG00000063406,TMED5,
5037,ENSG00000117501,Mroh9,ENSMUSG00000071890,MROH9,
5038,ENSG00000117505,Dr1,ENSMUSG00000029265,DR1,
5039,ENSG00000117507,Fmo6,ENSMUSG00000095576,FMO6P,
5040,ENSG00000117519,Cnn3,ENSMUSG00000053931,CNN3,
5041,ENSG00000117523,Prrc2c,ENSMUSG00000040225,PRRC2C,
5042,ENSG00000117525,F3,ENSMUSG00000028128,F3,
5043,ENSG00000117528,Abcd3,ENSMUSG00000028127,ABCD3,
5044,ENSG00000117533,Vamp4,ENSMUSG00000026696,VAMP4,
5045,ENSG00000117543,Dph5,ENSMUSG00000033554,DPH5,
5046,ENSG00000117560,Fasl,ENSMUSG00000000817,FASLG,
5047,ENSG00000117569,Ptbp2,ENSMUSG00000028134,PTBP2,
5048,ENSG00000117586,Tnfsf4,ENSMUSG00000026700,TNFSF4,
5049,ENSG00000117592,Prdx6,ENSMUSG00000026701,PRDX6,
5050,ENSG00000117592,Prdx6b,ENSMUSG00000050114,PRDX6,
5051,ENSG00000117593,Dars2,ENSMUSG00000026709,DARS2,
5052,ENSG00000117594,Hsd11b1,ENSMUSG00000016194,HSD11B1,
5053,ENSG00000117595,Irf6,ENSMUSG00000026638,IRF6,
5054,ENSG00000117597,Diexf,ENSMUSG00000016181,DIEXF,
5055,ENSG00000117598,Lppr5,ENSMUSG00000033342,LPPR5,
5056,ENSG00000117600,Lppr4,ENSMUSG00000044667,LPPR4,
5057,ENSG00000117601,Serpinc1,ENSMUSG00000026715,SERPINC1,
5058,ENSG00000117602,Rcan3,ENSMUSG00000059713,RCAN3,
5059,ENSG00000117614,Syf2,ENSMUSG00000028821,SYF2,
5060,ENSG00000117616,Rsrp1,ENSMUSG00000037266,RSRP1,
5061,ENSG00000117620,Slc35a3,ENSMUSG00000027957,SLC35A3,
5062,ENSG00000117625,Rcor3,ENSMUSG00000037395,RCOR3,
5063,ENSG00000117632,Stmn1,ENSMUSG00000028832,STMN1,
5064,ENSG00000117640,Mtfr1l,ENSMUSG00000046671,MTFR1L,
5065,ENSG00000117643,Man1c1,ENSMUSG00000037306,MAN1C1,
5066,ENSG00000117650,Nek2,ENSMUSG00000026622,NEK2,
5067,ENSG00000117676,Rps6ka1,ENSMUSG00000003644,RPS6KA1,
5068,ENSG00000117682,Dhdds,ENSMUSG00000012117,DHDDS,
5069,ENSG00000117691,Nenf,ENSMUSG00000037499,NENF,
5070,ENSG00000117697,Nsl1,ENSMUSG00000062510,NSL1,
5071,ENSG00000117707,Prox1,ENSMUSG00000010175,PROX1,
5072,ENSG00000117713,Arid1a,ENSMUSG00000007880,ARID1A,
5073,ENSG00000117724,Cenpf,ENSMUSG00000026605,CENPF,
5074,ENSG00000117748,Rpa2,ENSMUSG00000028884,RPA2,
5075,ENSG00000117751,Ppp1r8,ENSMUSG00000028882,PPP1R8,
5076,ENSG00000117758,Stx12,ENSMUSG00000028879,STX12,
5077,ENSG00000117791,2-Mar,ENSMUSG00000073481,2-Mar,
5078,ENSG00000117834,Slc5a9,ENSMUSG00000028544,SLC5A9,
5079,ENSG00000117859,Osbpl9,ENSMUSG00000028559,OSBPL9,
5080,ENSG00000117862,Txndc12,ENSMUSG00000028567,TXNDC12,
5081,ENSG00000117868,Esyt2,ENSMUSG00000021171,ESYT2,
5082,ENSG00000117877,Cd3eap,ENSMUSG00000047649,CD3EAP,
5083,ENSG00000117899,Mesdc2,ENSMUSG00000038503,MESDC2,
5084,ENSG00000117906,Rcn2,ENSMUSG00000032320,RCN2,
5085,ENSG00000117971,Chrnb4,ENSMUSG00000035200,CHRNB4,
5086,ENSG00000117983,Muc5ac,ENSMUSG00000037974,MUC5B,
5087,ENSG00000117984,Ctsd,ENSMUSG00000007891,CTSD,
5088,ENSG00000118004,Colec11,ENSMUSG00000036655,COLEC11,
5089,ENSG00000118007,Stag1,ENSMUSG00000037286,STAG1,
5090,ENSG00000118017,A4gnt,ENSMUSG00000037953,A4GNT,
5091,ENSG00000118046,Stk11,ENSMUSG00000003068,STK11,
5092,ENSG00000118058,Kmt2a,ENSMUSG00000002028,KMT2A,
5093,ENSG00000118094,Treh,ENSMUSG00000032098,TREH,
5094,ENSG00000118096,Ift46,ENSMUSG00000002031,IFT46,
5095,ENSG00000118113,Mmp8,ENSMUSG00000005800,MMP8,
5096,ENSG00000118137,Apoa1,ENSMUSG00000032083,APOA1,
5097,ENSG00000118156,Zfp541,ENSMUSG00000078796,ZNF541,
5098,ENSG00000118160,Slc8a2,ENSMUSG00000030376,SLC8A2,
5099,ENSG00000118162,Kptn,ENSMUSG00000006021,KPTN,
5100,ENSG00000118181,Rps25,ENSMUSG00000009927,RPS25,
5101,ENSG00000118193,Kif14,ENSMUSG00000041498,KIF14,
5102,ENSG00000118194,Tnnt2,ENSMUSG00000026414,TNNT2,
5103,ENSG00000118197,Ddx59,ENSMUSG00000026404,DDX59,
5104,ENSG00000118200,Camsap2,ENSMUSG00000041570,CAMSAP2,
5105,ENSG00000118217,Atf6,ENSMUSG00000026663,ATF6,
5106,ENSG00000118231,Crygd,ENSMUSG00000067299,CRYGD,
5107,ENSG00000118231,Cryge,ENSMUSG00000070870,CRYGD,
5108,ENSG00000118231,Crygf,ENSMUSG00000025945,CRYGD,
5109,ENSG00000118242,Mreg,ENSMUSG00000039395,MREG,
5110,ENSG00000118245,Tnp1,ENSMUSG00000026182,TNP1,
5111,ENSG00000118246,Fastkd2,ENSMUSG00000025962,FASTKD2,
5112,ENSG00000118257,Nrp2,ENSMUSG00000025969,NRP2,
5113,ENSG00000118260,Creb1,ENSMUSG00000025958,CREB1,
5114,ENSG00000118263,Klf7,ENSMUSG00000025959,KLF7,
5115,ENSG00000118271,Ttr,ENSMUSG00000061808,TTR,
5116,ENSG00000118276,B4galt6,ENSMUSG00000056124,B4GALT6,
5117,ENSG00000118292,BC028528,ENSMUSG00000038543,C1orf54,
5118,ENSG00000118298,Car14,ENSMUSG00000038526,CA14,
5119,ENSG00000118307,Casc1,ENSMUSG00000043541,CASC1,
5120,ENSG00000118308,Lrmp,ENSMUSG00000030263,LRMP,
5121,ENSG00000118322,Atp10b,ENSMUSG00000055415,ATP10B,
5122,ENSG00000118363,Spcs2,ENSMUSG00000035227,SPCS2,
5123,ENSG00000118369,Usp35,ENSMUSG00000035713,USP35,
5124,ENSG00000118402,Elovl4,ENSMUSG00000032262,ELOVL4,
5125,ENSG00000118407,Filip1,ENSMUSG00000034898,FILIP1,
5126,ENSG00000118412,Casp8ap2,ENSMUSG00000028282,CASP8AP2,
5127,ENSG00000118418,Hmgn3,ENSMUSG00000066456,HMGN3,
5128,ENSG00000118420,Ube2cbp,ENSMUSG00000032415,UBE3D,
5129,ENSG00000118432,Cnr1,ENSMUSG00000044288,CNR1,
5130,ENSG00000118434,Spaca1,ENSMUSG00000028264,SPACA1,
5131,ENSG00000118454,Ankrd13c,ENSMUSG00000039988,ANKRD13C,
5132,ENSG00000118473,Sgip1,ENSMUSG00000028524,SGIP1,
5133,ENSG00000118482,Phf3,ENSMUSG00000048874,PHF3,
5134,ENSG00000118491,Zc2hc1b,ENSMUSG00000019815,ZC2HC1B,
5135,ENSG00000118492,Adgb,ENSMUSG00000050994,ADGB,
5136,ENSG00000118495,Plagl1,ENSMUSG00000019817,PLAGL1,
5137,ENSG00000118496,Fbxo30,ENSMUSG00000047648,FBXO30,
5138,ENSG00000118503,Tnfaip3,ENSMUSG00000019850,TNFAIP3,
5139,ENSG00000118507,Akap7,ENSMUSG00000039166,AKAP7,
5140,ENSG00000118508,Rab32,ENSMUSG00000019832,RAB32,
5141,ENSG00000118513,Myb,ENSMUSG00000019982,MYB,
5142,ENSG00000118514,Aldh8a1,ENSMUSG00000037542,ALDH8A1,
5143,ENSG00000118515,Sgk1,ENSMUSG00000019970,SGK1,
5144,ENSG00000118518,Rnf146,ENSMUSG00000038876,RNF146,
5145,ENSG00000118520,Arg1,ENSMUSG00000019987,ARG1,
5146,ENSG00000118523,Ctgf,ENSMUSG00000019997,CTGF,
5147,ENSG00000118526,Tcf21,ENSMUSG00000045680,TCF21,
5148,ENSG00000118557,Pmfbp1,ENSMUSG00000031727,PMFBP1,
5149,ENSG00000118564,Fbxl5,ENSMUSG00000039753,FBXL5,
5150,ENSG00000118579,Med28,ENSMUSG00000015804,MED28,
5151,ENSG00000118596,Slc16a7,ENSMUSG00000020102,SLC16A7,
5152,ENSG00000118600,Tmem5,ENSMUSG00000034620,TMEM5,
5153,ENSG00000118620,Rsl1,ENSMUSG00000058900,ZNF430,
5154,ENSG00000118620,Zfp874b,ENSMUSG00000059839,ZNF430,
5155,ENSG00000118620,Zfp493,ENSMUSG00000090659,ZNF430,
5156,ENSG00000118620,Zfp595,ENSMUSG00000057842,ZNF430,
5157,ENSG00000118620,Zfp429,ENSMUSG00000078994,ZNF430,
5158,ENSG00000118620,Zfp87,ENSMUSG00000097333,ZNF430,
5159,ENSG00000118620,Zfp708,ENSMUSG00000058883,ZNF430,
5160,ENSG00000118620,Zfp65,ENSMUSG00000071281,ZNF430,
5161,ENSG00000118620,Zfp874a,ENSMUSG00000069206,ZNF430,
5162,ENSG00000118620,Rslcan18,ENSMUSG00000074824,ZNF430,
5163,ENSG00000118620,Zfp455,ENSMUSG00000051037,ZNF430,
5164,ENSG00000118620,Gm28557,ENSMUSG00000100235,ZNF430,
5165,ENSG00000118620,Zfp953,ENSMUSG00000098905,ZNF430,
5166,ENSG00000118620,Zfp58,ENSMUSG00000071291,ZNF430,
5167,ENSG00000118620,Zfp456,ENSMUSG00000078995,ZNF430,
5168,ENSG00000118620,Zfp457,ENSMUSG00000055341,ZNF430,
5169,ENSG00000118620,Gm9894,ENSMUSG00000052909,ZNF430,
5170,ENSG00000118640,Vamp8,ENSMUSG00000050732,VAMP8,
5171,ENSG00000118655,Dclre1b,ENSMUSG00000027845,DCLRE1B,
5172,ENSG00000118680,Myl12b,ENSMUSG00000034868,MYL12B,
5173,ENSG00000118689,Foxo3,ENSMUSG00000048756,FOXO3,
5174,ENSG00000118690,Armc2,ENSMUSG00000071324,ARMC2,
5175,ENSG00000118702,Ghrh,ENSMUSG00000027643,GHRH,
5176,ENSG00000118705,Rpn2,ENSMUSG00000027642,RPN2,
5177,ENSG00000118707,Tgif2,ENSMUSG00000062175,TGIF2,
5178,ENSG00000118729,Casq2,ENSMUSG00000027861,CASQ2,
5179,ENSG00000118733,Olfm3,ENSMUSG00000027965,OLFM3,
5180,ENSG00000118762,Pkd2,ENSMUSG00000034462,PKD2,
5181,ENSG00000118777,Abcg2,ENSMUSG00000029802,ABCG2,
5182,ENSG00000118777,Abcg3,ENSMUSG00000029299,ABCG2,
5183,ENSG00000118785,Spp1,ENSMUSG00000029304,SPP1,
5184,ENSG00000118804,Stbd1,ENSMUSG00000047963,FAM47E-STBD1,
5185,ENSG00000118816,Ccni,ENSMUSG00000063015,CCNI,
5186,ENSG00000118849,Rarres1,ENSMUSG00000049404,RARRES1,
5187,ENSG00000118855,Mfsd1,ENSMUSG00000027775,MFSD1,
5188,ENSG00000118873,Rab3gap2,ENSMUSG00000039318,RAB3GAP2,
5189,ENSG00000118894,Eef2kmt,ENSMUSG00000022544,EEF2KMT,
5190,ENSG00000118898,Ppl,ENSMUSG00000039457,PPL,
5191,ENSG00000118900,Ubn1,ENSMUSG00000039473,UBN1,
5192,ENSG00000118922,Klf12,ENSMUSG00000072294,KLF12,
5193,ENSG00000118939,Uchl4,ENSMUSG00000035337,UCHL3,
5194,ENSG00000118939,Uchl3,ENSMUSG00000022111,UCHL3,
5195,ENSG00000118946,Pcdh17,ENSMUSG00000035566,PCDH17,
5196,ENSG00000118960,Hs1bp3,ENSMUSG00000020605,HS1BP3,
5197,ENSG00000118961,1110057K04Rik,ENSMUSG00000037669,C2orf43,
5198,ENSG00000118965,Wdr35,ENSMUSG00000066643,WDR35,
5199,ENSG00000118971,Ccnd2,ENSMUSG00000000184,CCND2,
5200,ENSG00000118972,Fgf23,ENSMUSG00000000182,FGF23,
5201,ENSG00000118985,Ell2,ENSMUSG00000001542,ELL2,
5202,ENSG00000118997,Dnah7b,ENSMUSG00000041144,DNAH7,
5203,ENSG00000118997,Dnah7a,ENSMUSG00000096141,DNAH7,
5204,ENSG00000118997,Dnah7c,ENSMUSG00000101337,DNAH7,
5205,ENSG00000119004,Cyp20a1,ENSMUSG00000049439,CYP20A1,
5206,ENSG00000119013,Ndufb3,ENSMUSG00000026032,NDUFB3,
5207,ENSG00000119041,Gtf3c3,ENSMUSG00000041303,GTF3C3,
5208,ENSG00000119042,Satb2,ENSMUSG00000038331,SATB2,
5209,ENSG00000119048,Ube2b,ENSMUSG00000020390,UBE2B,
5210,ENSG00000119121,Trpm6,ENSMUSG00000024727,TRPM6,
5211,ENSG00000119125,Gda,ENSMUSG00000058624,GDA,
5212,ENSG00000119138,Klf9,ENSMUSG00000033863,KLF9,
5213,ENSG00000119139,Tjp2,ENSMUSG00000024812,TJP2,
5214,ENSG00000119147,1500015O10Rik,ENSMUSG00000026051,C2orf40,
5215,ENSG00000119185,Itgb1bp1,ENSMUSG00000062352,ITGB1BP1,
5216,ENSG00000119203,Cpsf3,ENSMUSG00000054309,CPSF3,
5217,ENSG00000119227,Pigz,ENSMUSG00000045625,PIGZ,
5218,ENSG00000119231,Senp5,ENSMUSG00000022772,SENP5,
5219,ENSG00000119242,Ccdc92,ENSMUSG00000037979,CCDC92,
5220,ENSG00000119280,2310022B05Rik,ENSMUSG00000031983,C1orf198,
5221,ENSG00000119283,Trim67,ENSMUSG00000036913,TRIM67,
5222,ENSG00000119285,Heatr1,ENSMUSG00000050244,HEATR1,
5223,ENSG00000119314,Ptbp3,ENSMUSG00000028382,PTBP3,
5224,ENSG00000119318,Rad23b,ENSMUSG00000028426,RAD23B,
5225,ENSG00000119321,Fkbp15,ENSMUSG00000066151,FKBP15,
5226,ENSG00000119326,Ctnnal1,ENSMUSG00000038816,CTNNAL1,
5227,ENSG00000119328,Fam206a,ENSMUSG00000038827,FAM206A,
5228,ENSG00000119333,Wdr34,ENSMUSG00000039715,WDR34,
5229,ENSG00000119383,Ppp2r4,ENSMUSG00000039515,PPP2R4,
5230,ENSG00000119392,Gle1,ENSMUSG00000019715,GLE1,
5231,ENSG00000119396,Rab14,ENSMUSG00000026878,RAB14,
5232,ENSG00000119397,Cntrl,ENSMUSG00000057110,CNTRL,
5233,ENSG00000119401,Trim32,ENSMUSG00000051675,TRIM32,
5234,ENSG00000119402,Fbxw2,ENSMUSG00000035949,FBXW2,
5235,ENSG00000119403,Phf19,ENSMUSG00000026873,PHF19,
5236,ENSG00000119408,Nek6,ENSMUSG00000026749,NEK6,
5237,ENSG00000119411,Bspry,ENSMUSG00000028392,BSPRY,
5238,ENSG00000119414,Ppp6c,ENSMUSG00000026753,PPP6C,
5239,ENSG00000119421,Ndufa8,ENSMUSG00000026895,NDUFA8,
5240,ENSG00000119431,Hdhd3,ENSMUSG00000038422,HDHD3,
5241,ENSG00000119446,Rbm18,ENSMUSG00000026889,RBM18,
5242,ENSG00000119457,Slc46a2,ENSMUSG00000028386,SLC46A2,
5243,ENSG00000119471,Hsdl2,ENSMUSG00000028383,HSDL2,
5244,ENSG00000119487,Mapkap1,ENSMUSG00000038696,MAPKAP1,
5245,ENSG00000119508,Nr4a3,ENSMUSG00000028341,NR4A3,
5246,ENSG00000119509,Invs,ENSMUSG00000028344,INVS,
5247,ENSG00000119514,Galnt12,ENSMUSG00000039774,GALNT12,
5248,ENSG00000119522,Dennd1a,ENSMUSG00000035392,DENND1A,
5249,ENSG00000119523,Alg2,ENSMUSG00000039740,ALG2,
5250,ENSG00000119535,Csf3r,ENSMUSG00000028859,CSF3R,
5251,ENSG00000119537,Kdsr,ENSMUSG00000009905,KDSR,
5252,ENSG00000119541,Vps4b,ENSMUSG00000009907,VPS4B,
5253,ENSG00000119547,Onecut2,ENSMUSG00000045991,ONECUT2,
5254,ENSG00000119559,2310011J03Rik,ENSMUSG00000020133,C19orf25,
5255,ENSG00000119574,Zbtb45,ENSMUSG00000049600,ZBTB45,
5256,ENSG00000119596,Ylpm1,ENSMUSG00000021244,YLPM1,
5257,ENSG00000119599,Dcaf4,ENSMUSG00000021222,DCAF4,
5258,ENSG00000119608,Prox2,ENSMUSG00000042320,PROX2,
5259,ENSG00000119614,Vsx2,ENSMUSG00000021239,VSX2,
5260,ENSG00000119616,Fcf1,ENSMUSG00000021243,FCF1,
5261,ENSG00000119630,Pgf,ENSMUSG00000004791,PGF,
5262,ENSG00000119632,Ifi27l2b,ENSMUSG00000021208,IFI27L2,
5263,ENSG00000119632,Ifi27l2a,ENSMUSG00000079017,IFI27L2,
5264,ENSG00000119636,Ccdc176,ENSMUSG00000057265,CCDC176,
5265,ENSG00000119638,Nek9,ENSMUSG00000034290,NEK9,
5266,ENSG00000119640,Acyp1,ENSMUSG00000008822,ACYP1,
5267,ENSG00000119650,Ift43,ENSMUSG00000007867,IFT43,
5268,ENSG00000119655,Npc2,ENSMUSG00000021242,NPC2,
5269,ENSG00000119661,Dnal1,ENSMUSG00000042523,DNAL1,
5270,ENSG00000119669,Irf2bpl,ENSMUSG00000034168,IRF2BPL,
5271,ENSG00000119673,Acot3,ENSMUSG00000021228,ACOT2,
5272,ENSG00000119673,Acot2,ENSMUSG00000021226,ACOT2,
5273,ENSG00000119673,Acot5,ENSMUSG00000042540,ACOT2,
5274,ENSG00000119673,Acot1,ENSMUSG00000072949,ACOT2,
5275,ENSG00000119681,Ltbp2,ENSMUSG00000002020,LTBP2,
5276,ENSG00000119682,Arel1,ENSMUSG00000042350,AREL1,
5277,ENSG00000119684,Mlh3,ENSMUSG00000021245,MLH3,
5278,ENSG00000119685,Ttll5,ENSMUSG00000012609,TTLL5,
5279,ENSG00000119686,Mfsd7c,ENSMUSG00000034258,FLVCR2,
5280,ENSG00000119688,Abcd4,ENSMUSG00000021240,ABCD4,
5281,ENSG00000119689,Dlst,ENSMUSG00000004789,DLST,
5282,ENSG00000119698,Ppp4r4,ENSMUSG00000021209,PPP4R4,
5283,ENSG00000119699,Tgfb3,ENSMUSG00000021253,TGFB3,
5284,ENSG00000119703,Zc2hc1c,ENSMUSG00000045064,ZC2HC1C,
5285,ENSG00000119705,Slirp,ENSMUSG00000021040,SLIRP,
5286,ENSG00000119707,Rbm25,ENSMUSG00000010608,RBM25,
5287,ENSG00000119711,Aldh6a1,ENSMUSG00000021238,ALDH6A1,
5288,ENSG00000119714,Gpr68,ENSMUSG00000047415,GPR68,
5289,ENSG00000119715,Esrrb,ENSMUSG00000021255,ESRRB,
5290,ENSG00000119718,Eif2b2,ENSMUSG00000004788,EIF2B2,
5291,ENSG00000119720,Nrde2,ENSMUSG00000021179,NRDE2,
5292,ENSG00000119723,Coq6,ENSMUSG00000021235,COQ6,
5293,ENSG00000119725,Zfp410,ENSMUSG00000042472,ZNF410,
5294,ENSG00000119729,Rhoq,ENSMUSG00000024143,RHOQ,
5295,ENSG00000119737,Gpr75,ENSMUSG00000043999,GPR75,
5296,ENSG00000119760,Supt7l,ENSMUSG00000053134,SUPT7L,
5297,ENSG00000119771,Klhl29,ENSMUSG00000020627,KLHL29,
5298,ENSG00000119772,Dnmt3a,ENSMUSG00000020661,DNMT3A,
5299,ENSG00000119777,Tmem214,ENSMUSG00000038828,TMEM214,
5300,ENSG00000119778,Atad2b,ENSMUSG00000052812,ATAD2B,
5301,ENSG00000119782,Fkbp1b,ENSMUSG00000020635,FKBP1B,
5302,ENSG00000119787,Atl2,ENSMUSG00000059811,ATL2,
5303,ENSG00000119801,Ypel5,ENSMUSG00000039770,YPEL5,
5304,ENSG00000119812,Fam98a,ENSMUSG00000002017,FAM98A,
5305,ENSG00000119820,Yipf4,ENSMUSG00000024072,YIPF4,
5306,ENSG00000119844,Aftph,ENSMUSG00000049659,AFTPH,
5307,ENSG00000119862,Lgalsl,ENSMUSG00000042363,LGALSL,
5308,ENSG00000119865,Cnrip1,ENSMUSG00000044629,CNRIP1,
5309,ENSG00000119866,Bcl11a,ENSMUSG00000000861,BCL11A,
5310,ENSG00000119878,Cript,ENSMUSG00000024146,CRIPT,
